Channel	ROC	FEB	FEBchannel
16	1	1	0
18	1	1	1
20	1	1	2
22	1	1	3
24	1	1	16
26	1	1	17
28	1	1	18
30	1	1	19
32	1	1	32
34	1	1	33
36	1	1	34
38	1	1	35
40	1	1	48
42	1	1	49
44	1	1	50
46	1	1	51
80	1	1	4
82	1	1	5
84	1	1	6
86	1	1	7
88	1	1	20
90	1	1	21
92	1	1	22
94	1	1	23
96	1	1	36
98	1	1	37
100	1	1	38
102	1	1	39
104	1	1	52
106	1	1	53
108	1	1	54
110	1	1	55
152	1	1	8
154	1	1	9
156	1	1	10
158	1	1	11
160	1	1	24
162	1	1	25
164	1	1	26
166	1	1	27
168	1	1	40
170	1	1	41
172	1	1	42
174	1	1	43
176	1	1	56
178	1	1	57
180	1	1	58
182	1	1	59
216	1	1	12
218	1	1	13
220	1	1	14
222	1	1	15
224	1	1	28
226	1	1	29
228	1	1	30
230	1	1	31
232	1	1	44
234	1	1	45
236	1	1	46
238	1	1	47
240	1	1	60
242	1	1	61
244	1	1	62
246	1	1	63
48	1	7	0
50	1	7	1
52	1	7	2
54	1	7	3
56	1	7	4
58	1	7	5
60	1	7	6
62	1	7	7
256	1	7	8
258	1	7	9
260	1	7	10
262	1	7	11
264	1	7	12
266	1	7	13
268	1	7	14
270	1	7	15
112	1	7	16
114	1	7	17
116	1	7	18
118	1	7	19
120	1	7	20
122	1	7	21
124	1	7	22
126	1	7	23
320	1	7	24
322	1	7	25
324	1	7	26
326	1	7	27
328	1	7	28
330	1	7	29
332	1	7	30
334	1	7	31
184	1	7	32
186	1	7	33
188	1	7	34
190	1	7	35
384	1	7	36
386	1	7	37
388	1	7	38
390	1	7	39
392	1	7	40
394	1	7	41
396	1	7	42
398	1	7	43
400	1	7	44
402	1	7	45
404	1	7	46
406	1	7	47
248	1	7	48
250	1	7	49
252	1	7	50
254	1	7	51
448	1	7	52
450	1	7	53
452	1	7	54
454	1	7	55
456	1	7	56
458	1	7	57
460	1	7	58
462	1	7	59
464	1	7	60
466	1	7	61
468	1	7	62
470	1	7	63
